Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CI,Common Stock,Cigna Corp,"Cigna is an American multinational managed healthcare and insurance company based in Bloomfield, Connecticut. Its insurance subsidiaries are major providers of medical, dental, disability, life and accident insurance and related products and services, the majority of which are offered through employers and other groups (e.g. governmental and non-governmental organizations, unions and associations).",1739940.0,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"900 COTTAGE GROVE ROAD, BLOOMFIELD, CT, US",December,2024-03-31,97619190000.0,9216000000,28.26,0.892,144.9,5.09,0.0163,12.16,700.13,0.0177,0.0081,0.0308,0.0897,204145000000.0,22981000000.0,12.16,-0.105,0.193,393.25,8.0,12.0,5.0,0.0,0.0,28.26,12.32,0.508,2.147,0.627,-,0.525,364.21,251.86,335.55,324.17,284074000.0,2024-06-20,2024-09-04
CINF,Common Stock,Cincinnati Financial Corporation,"Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company.",20286.0,NASDAQ,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","6200 S GILMORE RD, FAIRFIELD, OH, US",December,2024-06-30,19406930000.0,2849000000,9.09,-158.72,81.78,3,0.0261,13.64,67.96,0.202,0.157,0.0517,0.181,10646000000.0,-533000000.0,13.64,-0.414,-0.023,133.29,1.0,4.0,6.0,0.0,0.0,9.09,18.98,1.856,1.536,1.853,-,0.658,128.23,94.82,117.83,111.77,156240000.0,2024-07-15,2024-06-18
CTAS,Common Stock,Cintas Corporation,"Cintas Corporation is an American corporation headquartered in Cincinnati, Ohio, which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses.",723254.0,NASDAQ,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","6800 CINTAS BLVD, P O BOX 625737, CINCINNATI, OH, US",May,2024-05-31,77092258000.0,2511017000,50.19,3.795,42.63,5.4,0.0083,15.17,94.41,0.164,0.222,0.146,0.384,9596615000.0,3632246000.0,15.17,0.195,0.082,770.28,4.0,6.0,7.0,0.0,2.0,50.19,41.15,7.21,16.02,7.48,28.98,1.305,773.77,471.57,705.26,625.22,101252000.0,2024-06-14,2024-08-15
CSCO,Common Stock,Cisco Systems Inc,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",858877.0,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"170 WEST TASMAN DR, SAN JOSE, CA, US",July,2024-04-30,192899432000.0,16684000000,16.18,3.432,11.35,1.57,0.0339,2.96,13.65,0.219,0.219,0.084,0.275,55364002000.0,35753000000.0,2.96,-0.41,-0.128,50.4,5.0,3.0,21.0,0.0,0.0,16.18,12.8,3.431,4.247,3.186,10.03,0.844,56.37,44.57,46.86,49.13,4028810000.0,2024-07-24,2024-07-05
C,Common Stock,Citigroup Inc,"Citigroup Inc. is an American multinational investment bank and financial services corporation headquartered in New York City. The company was formed by the merger of banking giant Citicorp and financial conglomerate Travelers Group in 1998; Travelers was subsequently spun off from the company in 2002. Citigroup owns Citicorp, the holding company for Citibank, as well as several international subsidiaries. Citigroup is incorporated in Delaware.",831001.0,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"388 GREENWICH STREET, NEW YORK, NY, US",December,2024-03-31,125517128000.0,None,18.01,0.92,99.7,2.12,0.033,3.62,36.46,0.119,0.244,0.0035,0.0404,69750997000.0,70560000000.0,3.62,0.149,0.006,69.48,5.0,11.0,9.0,0.0,0.0,18.01,10.03,1.635,0.606,-,-,1.451,67.81,37.0,63.12,55.32,1925700000.0,2024-08-23,2024-08-05
CFG,Common Stock,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island.",759944.0,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"870 WESTMINSTER ST, 1 CITIZENS PLZ THIRD FL, PROVIDENCE, RI, US",December,2024-06-30,19758201000.0,None,16.46,0.263,48.03,1.68,0.0389,2.65,15.62,0.186,0.274,0.0061,0.0567,7228000000.0,7547000000.0,2.65,-0.152,-0.071,43.53,5.0,7.0,10.0,0.0,0.0,16.46,10.09,2.016,0.68,-,-,1.342,43.96,21.82,36.43,32.51,452962000.0,2024-08-14,2024-07-31
CLX,Common Stock,The Clorox Company,"The Clorox Company, based in Oakland, California, is an American global manufacturer and marketer of consumer and professional products.",21076.0,NYSE,USD,USA,LIFE SCIENCES,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS","THE CLOROX COMPANY, 1221 BROADWAY, OAKLAND, CA, US",June,2024-03-31,16716946000.0,1143000000,69.75,0.433,0.733,4.8,0.036,1.93,58.11,0.0333,0.129,0.0984,1.18,7209000000.0,2905000000.0,1.93,-0.064,-0.053,144.68,0.0,1.0,16.0,4.0,0.0,69.75,21.01,2.41,332.46,2.79,41.71,0.381,163.49,112.78,133.88,140.19,124188000.0,2024-05-10,2024-04-23
CME,Common Stock,CME Group Inc,"CME Group Inc. (Chicago Mercantile Exchange, Chicago Board of Trade, New York Mercantile Exchange, The Commodity Exchange) is an American global markets company. It is the world's largest financial derivatives exchange, and trades in asset classes that include agricultural products, currencies, energy, interest rates, metals, stock indexes and cryptocurrencies futures.",1156375.0,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","20 S. WACKER DR., CHICAGO, IL, US",December,2024-03-31,72207434000.0,4011400000,22.11,8.46,76.91,4.5,0.0434,9.07,16.11,0.571,0.653,0.0167,0.119,5787700000.0,5008800000.0,9.07,0.131,0.129,219.33,4.0,4.0,7.0,2.0,0.0,22.11,21.88,13.54,2.821,13.59,16.25,0.527,220.2,189.05,200.4,208.9,360062000.0,2024-06-25,2024-06-07
CMS,Common Stock,CMS Energy Corporation,"CMS Energy (NYSE: CMS), based in Jackson, Michigan, is an energy company that is focused principally on utility operations in Michigan.",811156.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"ONE ENERGY PLAZA, JACKSON, MI, US",December,2024-06-30,18807978000.0,2735000000,19.31,2.228,26.06,0.975,0.0327,3.26,25.14,0.131,0.176,0.0291,0.107,7406000000.0,2762000000.0,3.26,-0.03,0.033,64.79,4.0,7.0,8.0,0.0,0.0,19.31,17.27,2.308,2.352,4.403,11.83,0.384,64.28,48.57,60.86,58.53,298729000.0,2024-05-31,2024-08-02
KO,Common Stock,The Coca-Cola Company,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344.0,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",December,2024-03-31,288915784000.0,14946000000,27.26,2.934,6.0,1.89,0.0294,2.46,10.77,0.229,0.324,0.0867,0.388,46464999000.0,25004000000.0,2.46,-0.05,0.033,64.51,5.0,14.0,7.0,0.0,0.0,27.26,20.75,5.49,9.69,6.11,17.92,0.592,67.11,50.35,63.51,60.2,4308960000.0,2024-07-01,2024-06-14
CTSH,Common Stock,Cognizant Technology Solutions Corp Class A,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States.",1058290.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"500 FRANK W. BURR BLVD., TEANECK, NJ, US",December,2024-03-31,37076132000.0,3422000000,17.88,1.204,27.14,1.18,0.0164,4.17,38.45,0.108,0.151,0.101,0.16,19300999000.0,7039000000.0,4.17,-0.036,-0.011,76.1,2.0,4.0,20.0,2.0,0.0,17.88,15.06,1.782,2.607,1.714,9.8,1.054,79.75,61.38,68.82,71.16,497199000.0,2024-05-29,2024-05-17
CL,Common Stock,Colgate-Palmolive Company,"Colgate-Palmolive Company is an American multinational consumer products company headquartered on Park Avenue in Midtown Manhattan, New York City. It specializes in the production, distribution and provision of household, health care, personal care and veterinary products.",21665.0,NYSE,USD,USA,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS","300 PARK AVE, NEW YORK, NY, US",December,2024-03-31,81543635000.0,4704000000,31.55,2.152,0.28,1.92,0.0207,3.15,23.93,0.132,0.209,0.157,0.532,19751999000.0,10248000000.0,3.15,0.855,0.062,93.88,5.0,11.0,6.0,0.0,1.0,31.55,24.51,3.627,115.87,4.043,18.53,0.387,100.61,66.06,95.77,85.74,820441000.0,2024-08-15,2024-07-19
CMCSA,Common Stock,Comcast Corp,"Comcast Corporation is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania. It is the second-largest broadcasting and cable television company in the world by revenue (behind AT&T), the largest pay-TV company, the largest cable TV company and largest home Internet service provider in the United States, and the nation's third-largest home telephone service provider. Comcast provides services to U.S. residential and commercial customers in 40 states and in the District of Columbia. As the parent company of the international media company NBCUniversal since 2011, Comcast is a producer of feature films and television programs intended for theatrical exhibition and over-the-air and cable television broadcast, respectively.",1166691.0,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"ONE COMCAST CENTER, PHILADELPHIA, PA, US",December,2024-06-30,153699516000.0,37513998000,10.56,0.642,21.44,1.2,0.0312,3.76,30.32,0.125,0.224,0.0557,0.175,121113002000.0,83214000000.0,3.76,-0.02,-0.027,46.36,5.0,11.0,13.0,1.0,0.0,10.56,9.37,1.286,1.891,2.034,6.36,1.003,46.38,36.13,38.62,41.35,3863060000.0,2024-07-24,2024-10-02
CAG,Common Stock,ConAgra Foods Inc,"Conagra Brands, Inc. (formerly ConAgra Foods) is an American consumer packaged goods holding company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments.",23217.0,NYSE,USD,USA,MANUFACTURING,FOOD AND KINDRED PRODUCTS,"ONE CONAGRA DR, OMAHA, NE, US",May,2024-05-31,14317577000.0,2335300000,41.58,0.719,17.65,1.4,0.0474,0.72,25.18,0.0288,0.179,0.0568,0.0401,12050900000.0,2860600000.0,0.72,-0.099,-0.023,29.89,0.0,2.0,15.0,0.0,0.0,41.58,10.74,1.156,1.53,1.866,12.16,0.312,32.05,24.27,29.32,28.96,478209000.0,2024-08-29,2024-08-01
COP,Common Stock,ConocoPhillips,"ConocoPhillips is an American multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas.",1163165.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"925 N. ELDRIDGE PARKWAY, HOUSTON, TX, US",December,2024-03-31,129075413000.0,24287001000,12.55,0.721,42.17,4.18,0.0293,8.83,47.66,0.186,0.265,0.105,0.218,56819999000.0,39598000000.0,8.83,-0.097,-0.068,130.41,7.0,13.0,6.0,0.0,0.0,12.55,13.97,2.655,3.118,2.957,6.48,1.249,134.54,105.08,114.17,117.16,1164310000.0,2024-06-03,2024-05-10
ED,Common Stock,Consolidated Edison Inc,"Consolidated Edison, Inc., commonly known as Con Edison (stylized as conEdison) or ConEd, is one of the largest investor-owned energy companies in the United States, with approximately $12 billion in annual revenues as of 2017, and over $48 billion in assets. The company provides a wide range of energy-related products and services to its customers through its subsidiaries.",1047862.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"4 IRVING PLACE, NEW YORK, NY, US",December,2024-03-31,33352329000.0,5258000000,18.4,2.55,62.47,3.26,0.0344,5.24,42.04,0.124,0.276,0.0308,0.0851,14540000000.0,7685000000.0,5.24,-0.486,-0.028,92.08,2.0,0.0,10.0,5.0,0.0,18.4,16.69,2.09,1.448,3.714,8.99,0.338,98.11,78.31,92.36,90.89,345835000.0,2024-09-16,2024-08-14
STZ,Common Stock,Constellation Brands Inc Class A,"Constellation Brands, Inc., headquartered in Victor, New York, is an American producer and marketer of beer, wine, and spirits.",16918.0,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"207 HIGH POINT DRIVE, BUILDING 100, VICTOR, NY, US",February,2024-05-31,46195208000.0,3786700000,18.87,2.209,56.22,3.68,0.0159,13.43,55.18,0.244,0.354,0.0824,0.259,10108700000.0,4711000000.0,13.43,5.46,0.058,299.92,6.0,16.0,3.0,0.0,0.0,18.87,19.12,4.813,4.92,5.99,19.34,0.865,273.78,224.93,252.87,249.72,182192000.0,2024-08-23,2024-08-14
CEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COO,Common Stock,The Cooper Companies Inc.,"The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404.0,NASDAQ,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",October,2024-04-30,18559975000.0,987600000,54.83,11.55,39.2,None,None,1.7,18.8,0.0911,0.172,0.0321,0.0448,3731500000.0,2357900000.0,1.7,1.2,0.074,108.86,5.0,5.0,10.0,0.0,0.0,54.83,26.6,5.07,2.416,5.79,23.72,0.982,104.07,75.94,91.73,91.46,199120000.0,2023-08-11,2023-07-26
CPRT,Common Stock,Copart Inc,"Copart, Inc. or simply Copart is a global provider of online vehicle auction and remarketing services to automotive resellers such as insurance, rental car, fleet and finance companies in 11 countries: the US, Canada, the UK, Germany, Ireland, Brazil, Spain, Dubai, Bahrain, Oman and Finland.",900075.0,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,"14185 DALLAS PARKWAY, SUITE 300, DALLAS, TX, US",July,2024-04-30,49125310000.0,1780915000,35.7,3.118,7.45,None,None,1.43,4.343,0.333,0.388,0.14,0.217,4165415000.0,1769369000.0,1.43,0.083,0.103,59.55,3.0,4.0,4.0,0.0,0.0,35.7,34.01,13.11,7.85,12.49,28.89,1.275,58.58,42.41,53.67,51.5,962298000.0,None,None
GLW,Common Stock,Corning Incorporated,"Corning Incorporated is an American multinational technology company that specializes in specialty glass, ceramics, and related materials and technologies including advanced optics, primarily for industrial and scientific applications.",24741.0,NYSE,USD,USA,MANUFACTURING,DRAWING & INSULATING OF NONFERROUS WIRE,"ONE RIVERFRONT PLAZA, CORNING, NY, US",December,2024-03-31,36706124000.0,2650000000,59.51,1.122,13.71,1.12,0.0261,0.72,14.57,0.0496,0.0864,0.0285,0.0574,12385000000.0,4843000000.0,0.72,0.2,-0.064,42.5,4.0,4.0,7.0,1.0,0.0,59.51,16.64,2.14,2.332,2.672,13.38,1.048,46.39,24.61,39.66,32.94,856619000.0,2024-09-27,2024-08-30
CPAY,Common Stock,Corpay Inc,None,1175454.0,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3280 PEACHTREE ROAD, SUITE 2400, ATLANTA, GA, US",December,2024-03-31,19900522000.0,2016671000,None,1.181,None,None,None,None,52.14,0.263,0.425,0.069,0.323,3791637000.0,0.0,0.0,0.083,0.038,330.29,5.0,8.0,5.0,0.0,1.0,-,14.93,5.25,6.12,6.69,12.49,1.216,319.94,220.39,299.92,272.05,70268000.0,None,None
CTVA,Common Stock,Corteva Inc,"Corteva, Inc. (also known as Corteva Agriscience) is a major American agricultural chemical and seed company that was the agricultural unit of DowDuPont prior to being spun off as an independent public company.",1755672.0,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,"974 CENTRE ROAD, BUILDING 735, WILMINGTON, DE, US",December,2024-03-31,38605500000.0,3007000000,55.95,2.349,35.49,0.64,0.0116,0.99,23.85,0.0332,0.147,0.0249,0.0279,16834000000.0,7026000000.0,0.99,-0.28,-0.08,63.2,4.0,13.0,7.0,0.0,0.0,55.95,19.12,2.181,1.501,2.166,14.71,0.771,58.59,42.82,53.87,51.69,696976000.0,2024-06-18,2024-06-04
CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352.0,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",December,2024-06-30,32174733000.0,199900000,150.98,8.64,18.07,None,None,0.52,6.41,0.0819,-0.0238,0.0051,0.0294,2598900000.0,1768391000.0,0.52,-0.809,0.119,94.17,5.0,8.0,3.0,0.0,0.0,150.98,227.27,15.03,5.03,13.36,84.12,0.813,100.38,67.35,77.44,83.22,409817000.0,None,None
COST,Common Stock,Costco Wholesale Corp,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832.0,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",August,2024-05-31,362470703000.0,11243000000,50.75,5.15,49.1,4.22,0.0057,16.11,571.55,0.0283,0.0376,0.0838,0.316,253695001000.0,30095000000.0,16.11,0.29,0.091,886.84,8.0,17.0,12.0,0.0,0.0,50.75,46.08,1.304,15.62,1.3,28.32,0.769,895.4,515.49,838.55,714.17,443335000.0,2024-08-09,2024-07-26
CTRA,Common Stock,Coterra Energy Inc,"Coterra Energy Inc., an independent oil and gas company, explores, exploits, develops, produces and markets oil and gas properties in the United States. The company is headquartered in Houston, Texas.",858470.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"840 GESSNER ROAD, SUITE 1400, HOUSTON, TX, US",December,2024-03-31,19186328000.0,3420000000,14.99,44.67,17.57,0.81,0.0326,1.72,7.29,0.237,0.32,0.0522,0.101,5484000000.0,7636000000.0,1.72,-0.467,-0.127,33.67,4.0,14.0,8.0,0.0,0.0,14.99,15.27,3.653,1.593,3.777,5.79,0.226,29.22,23.37,27.16,26.72,744233000.0,2024-05-30,2024-05-15
CRWD,Common Stock,Crowdstrike Holdings Inc,"CrowdStrike Holdings, Inc. provides cloud solutions for endpoint and cloud workload protection in the United States, Australia, Germany, India, Israel, Romania, and the United Kingdom. The company is headquartered in Sunnyvale, California.",1535527.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"150 MATHILDA PLACE, SUITE 300, SUNNYVALE, CA, US",January,2024-04-30,62339355000.0,145152000,474.37,1.12,10.43,None,None,0.54,13.68,0.0401,0.0075,0.0025,0.0649,3284011000.0,1640005000.0,0.54,82.33,0.33,373.24,17.0,32.0,3.0,0.0,0.0,474.37,65.79,20.19,25.33,18.67,169.81,1.095,398.33,140.52,352.16,291.51,230883000.0,None,None
CCI,Common Stock,Crown Castle,"Crown Castle is a real estate investment trust and provider of shared communications infrastructure in the United States. Its network includes over 40,000 cell towers and nearly 80,000 route miles of fiber supporting small cells and fiber solutions. Headquartered in Houston, Texas, the company has 100 offices nationwide.",1051470.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1220 AUGUSTA DRIVE, SUITE 600, HOUSTON, TX, US",December,2024-06-30,46719914000.0,3960000000,39.38,8.48,12.99,6.26,0.0582,2.73,15.21,0.18,0.328,0.0365,0.187,6608000000.0,4918000000.0,2.73,-0.45,-0.129,110.88,2.0,3.0,12.0,1.0,1.0,39.38,33.11,6.02,6.59,10.13,17.24,0.838,114.4,81.1,100.33,103.41,434523000.0,2024-06-28,2024-06-14
CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948.0,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",December,2024-03-31,67093197000.0,7134000000,18.75,2.065,6.44,0.45,0.014,1.83,7.38,0.247,0.371,0.0818,0.29,14631999000.0,7390000000.0,1.83,-0.05,-0.007,38.9,5.0,13.0,8.0,0.0,0.0,18.75,17.3,4.515,5.24,5.71,11.57,1.197,39.85,28.73,33.47,34.16,1954930000.0,2024-09-13,2024-08-30
CMI,Common Stock,Cummins Inc,"Cummins is a Columbus, Indiana based multinational corporation that designs, manufactures, and distributes engines, filtration, and power generation products. Cummins also services engines and related equipment, including fuel systems, controls, air handling, filtration, emission control, electrical power generation systems, and trucks.",26172.0,NYSE,USD,USA,TECHNOLOGY,ENGINES & TURBINES,"500 JACKSON ST, BOX 3005 MAIL CODE 60207, COLUMBUS, IN, US",December,2024-03-31,39718179000.0,4373000000,21.32,0.749,66.29,6.61,0.0251,13.62,240.13,0.057,0.0988,0.066,0.197,34015001000.0,6736000000.0,13.62,1.528,-0.006,304.66,3.0,4.0,13.0,2.0,0.0,21.32,16.1,1.199,4.615,1.33,14.98,0.988,302.87,208.63,279.95,260.24,136780000.0,2024-09-05,2024-08-23
